emp_no,first_name,last_name,title,dept_no
10693,Berhard,Daescu,Senior Staff,d009
10696,Unal,Fendler,Technique Leader,d005
10702,Bader,Szemeredi,Senior Engineer,d005
10712,Uma,Koprowski,Senior Engineer,d005
10718,Adib,Rullman,Senior Engineer,d005
10726,Zita,Minakawa,Senior Engineer,d005
10734,Sachar,Erdi,Engineer,d004
10741,Sven,Huttel,Senior Staff,d001
10742,Shim,Wiegley,Technique Leader,d005
10745,Poorav,Ranze,Senior Engineer,d004
10749,King,Brendel,Senior Engineer,d004
10750,Roddy,Demeyer,Technique Leader,d005
10764,Yunming,Beetstra,Senior Engineer,d005
10767,Monique,Doering,Staff,d007
10768,Ishfaq,Candan,Senior Engineer,d004
10778,Selwyn,Merey,Senior Staff,d001
10791,Tadahiko,Sgarro,Senior Engineer,d005
10795,Supot,Naudin,Senior Staff,d007
10808,Chenxi,Leijenhorst,Senior Engineer,d005
10811,Ashish,Fortenbacher,Engineer,d004
10813,Shalesh,Shumilov,Senior Staff,d007
10814,Nidapan,Dymetman,Senior Staff,d007
10826,Arnd,Anandan,Senior Engineer,d005
10827,Willard,Danley,Staff,d002
10830,Fen,Fiebach,Senior Staff,d001
10831,Toong,Driscoll,Technique Leader,d005
10833,Krisda,Gecseg,Technique Leader,d006
10834,Huiqun,Rajcani,Engineer,d004
10835,Tomoyuki,Kermarrec,Engineer,d004
10836,Jianhua,Leivant,Senior Staff,d007
10844,Dipayan,Koprowski,Engineer,d005
10846,Tokuyasu,Serre,Senior Engineer,d005
10847,Theirry,Danley,Senior Staff,d008
10848,Fen,Bratsberg,Senior Engineer,d004
10849,Makato,Mayerwieser,Engineer,d005
10854,Jagoda,Nannarelli,Engineer,d005
10858,Kenroku,Gonthier,Senior Engineer,d005
10871,Aram,Gilg,Staff,d009
10872,Karoline,Speel,Senior Staff,d002
10873,Sukumar,Wegerle,Staff,d002
10878,Lakshmi,Deville,Staff,d007
10879,Muzhong,Chleq,Senior Engineer,d005
10882,Fun,Heuser,Engineer,d005
10883,Shimshon,Champarnaud,Engineer,d004
10885,Rayond,Cronau,Senior Staff,d001
10887,Lunjin,DeMori,Senior Engineer,d005
10900,Ferdinand,Prenel,Senior Engineer,d005
10906,Munehiro,Carrere,Staff,d002
10909,Georgi,Atchley,Senior Engineer,d005
10913,Narain,Thummel,Staff,d002
10920,Ronghao,Narahara,Senior Staff,d003
10921,Mara,Bahi,Senior Engineer,d004
10924,Hironoby,Atchley,Senior Staff,d007
10926,Leni,Eppinger,Senior Engineer,d004
10927,Gal,Scallan,Senior Staff,d001
10930,Arch,Minakawa,Senior Engineer,d004
10932,Avishai,Picci,Senior Engineer,d005
10936,Mountaz,Schicker,Senior Staff,d003
10942,Toshimitsu,Larfeldt,Engineer,d005
10943,Berna,Skafidas,Senior Engineer,d005
10944,Remko,Zyda,Senior Engineer,d004
10947,Gor,Usery,Senior Staff,d009
10949,Shigeichiro,Wroclawski,Senior Staff,d002
10956,Arno,Picel,Engineer,d004
10965,Eckart,Braunschweig,Senior Staff,d007
10969,Premal,Noriega,Senior Engineer,d005
10974,Muneo,Papsdorf,Senior Engineer,d005
10986,Masako,Schiper,Technique Leader,d005
10987,Flemming,Baezner,Engineer,d005
10988,Chinya,Deyuan,Senior Engineer,d005
10989,Sumali,Candan,Senior Staff,d002
10990,Shin,Foote,Technique Leader,d005
10996,Matk,Rahimi,Senior Staff,d007
11004,JoAnna,Decleir,Senior Engineer,d004
11009,Alper,Axelband,Senior Staff,d007
11012,Taegyun,Speckmann,Staff,d001
11019,Leon,Huttel,Senior Engineer,d005
11021,Srinidhi,Henders,Staff,d008
11027,Remzi,Cappello,Senior Engineer,d004
11031,Ottavia,Walstra,Senior Staff,d001
11032,Erez,Schaaf,Staff,d005
11037,Lansing,Maliniak,Senior Engineer,d004
11038,Jinya,Beidas,Senior Staff,d008
11042,Gou,Breugel,Senior Engineer,d005
11048,Jaques,Demke,Senior Staff,d007
11050,Elvis,Katiyar,Senior Staff,d001
11051,Przemyslawa,Erol,Senior Engineer,d004
11056,Palash,Speel,Staff,d007
11061,Pintsang,Erni,Senior Staff,d002
11064,Shawna,Vieri,Senior Engineer,d004
11066,Shaz,Langford,Senior Staff,d002
11070,Adib,Raney,Senior Engineer,d006
11071,Kwan,Sigstam,Senior Engineer,d005
11075,Karsten,Belinskaya,Senior Engineer,d004
11079,Piyush,Garigliano,Senior Engineer,d005
11081,Barry,Boyle,Senior Staff,d002
11083,Shimshon,Ducloy,Senior Staff,d002
11084,Greger,Senzako,Senior Engineer,d004
11085,Hailing,Thummel,Senior Engineer,d004
11087,Changho,Jayawardene,Senior Engineer,d004
11089,Conal,Henders,Senior Staff,d007
11091,Souichi,Ramsay,Engineer,d004
11092,Narain,Stamatiou,Staff,d001
11098,Arnd,Covnot,Engineer,d005
11100,Berna,Cochrane,Senior Staff,d008
11106,Aris,Iwayama,Senior Engineer,d005
11111,Udi,Zastre,Assistant Engineer,d004
11112,Boaz,Mukaidono,Staff,d009
11113,Shahab,Peng,Senior Staff,d001
11121,Vugranam,Kakkad,Senior Engineer,d005
11130,Xinyu,Menhoudj,Senior Staff,d003
11132,Kristin,Harnett,Senior Engineer,d004
11133,Nalini,Azulay,Technique Leader,d006
11134,Sachar,Rajcani,Senior Engineer,d006
11137,Hugh,Luca,Engineer,d005
11139,Bogdan,Homond,Senior Staff,d009
11143,Yongdong,Rosen,Engineer,d005
11144,Carrsten,Heinisuo,Senior Staff,d007
11146,Ishfaq,Masand,Senior Staff,d007
11147,Ayonca,Nitsch,Engineer,d005
11148,Zhanqiu,Botman,Senior Staff,d002
11158,Masaki,Hagimont,Senior Engineer,d004
11162,Kauko,Narlikar,Senior Engineer,d005
11168,Shmuel,Tetzlaff,Senior Staff,d007
11170,Minghong,Cannard,Senior Engineer,d005
11174,Akhilish,Milicia,Engineer,d004
11177,Chrisa,dAstous,Senior Engineer,d005
11180,Mitsuyuki,Bojadziev,Senior Engineer,d005
11181,Hausi,Cullers,Engineer,d005
11185,Aloys,Baezner,Senior Staff,d009
11186,Kshitij,Stasinski,Senior Engineer,d004
11189,Dante,Bodoff,Senior Staff,d007
11192,Apostol,Bahr,Engineer,d006
11197,Tadahiro,Fordan,Senior Staff,d007
11201,Jouko,Masaki,Staff,d008
11204,Diederik,Covnot,Technique Leader,d004
11207,Saeed,Gips,Engineer,d005
11208,Saniya,Valtorta,Technique Leader,d004
11211,Yurij,Rissland,Senior Engineer,d004
11213,Vugranam,Munoz,Technique Leader,d004
11217,Kellie,Mawatari,Senior Engineer,d004
11229,Gretta,Ramamoorthy,Senior Engineer,d004
11232,Hidefumi,Crelier,Senior Staff,d009
11233,Sanjit,Waschkowski,Senior Engineer,d005
11240,Kiam,Condotta,Engineer,d005
11243,Udi,Desikan,Assistant Engineer,d004
11249,Randi,Cyre,Engineer,d005
11251,Bezalel,Chinal,Senior Staff,d001
11253,Koldo,Pokrovskii,Senior Engineer,d005
11254,Danel,Rindone,Staff,d007
11258,Aris,Maccarone,Senior Staff,d009
11266,Florina,Rohrbach,Senior Engineer,d006
11267,Shaunak,Zaumen,Senior Engineer,d005
11268,Aimee,Petersohn,Senior Engineer,d004
11274,Masanao,Nicolson,Staff,d009
11275,Hitomi,Eppinger,Senior Engineer,d005
11289,Chuanti,Cherinka,Senior Engineer,d005
11290,Visit,Dredge,Engineer,d005
11292,Souichi,Sichman,Senior Engineer,d005
11294,Tru,Segond,Senior Engineer,d005
11295,Abdelkader,Lanzelotte,Senior Staff,d002
11296,Hironobu,Kenevan,Senior Engineer,d004
11301,Mingzeng,Oxenboll,Senior Staff,d003
11317,Shigeaki,Hagimont,Senior Staff,d005
11319,Pranas,Marrakchi,Assistant Engineer,d005
11320,Atilio,McAlpine,Senior Staff,d001
11322,Nathalie,Pocchiola,Senior Engineer,d006
11324,Kauko,Billingsley,Senior Engineer,d004
11325,Samphel,Rossi,Engineer,d005
11326,Munenori,Plesums,Senior Engineer,d005
11338,Kwangsub,Hanratty,Senior Staff,d007
11339,Flemming,Massonet,Senior Engineer,d004
11340,Aris,Bala,Senior Engineer,d004
11343,Susanne,Erez,Senior Engineer,d005
11347,Anneli,Jonsson,Senior Engineer,d005
11349,Yurii,Hammerschmidt,Engineer,d004
11360,Fen,Schach,Senior Staff,d007
11365,Toshimi,Shinomoto,Engineer,d004
11373,Yongmao,Keohane,Senior Staff,d009
11376,Valery,Suomi,Senior Staff,d008
11380,Kenroku,Pelc,Senior Engineer,d005
11385,Shiv,Ullian,Engineer,d004
11386,Alselm,Assaf,Senior Engineer,d006
11393,Junsik,Junot,Senior Engineer,d004
11396,Anneke,Servieres,Engineer,d005
11398,Oscar,Peir,Senior Staff,d002
11401,Huan,Merey,Staff,d007
11404,Bedrich,Borovoy,Technique Leader,d005
11406,Eberhardt,Gini,Senior Staff,d008
11410,Gro,Vendrig,Engineer,d005
11415,Sanjiv,Anido,Engineer,d004
11417,Anneli,Cyne,Technique Leader,d006
11418,Satosi,Cooley,Senior Staff,d001
11420,Tsutomu,Lalonde,Senior Staff,d003
11421,Josyula,Msuda,Senior Engineer,d004
11423,Guangming,Kopetz,Staff,d009
11425,Renee,Crelier,Senior Engineer,d005
11441,Marlo,Aingworth,Senior Staff,d007
11446,Naftali,Narahara,Senior Engineer,d005
11449,Kotesh,Asser,Senior Engineer,d004
11451,Eben,Rajaraman,Senior Engineer,d004
11452,Shigehito,Luby,Senior Staff,d009
11459,Duke,Suomi,Senior Staff,d003
11460,Mana,Maraist,Senior Engineer,d004
11469,Guttorm,Giaccio,Senior Engineer,d004
11474,Gennady,Akazan,Engineer,d004
11476,Manton,Yoshizawa,Staff,d001
11479,Shridhar,Pleszkun,Staff,d002
11503,Nathan,Picht,Senior Engineer,d005
11506,Rance,Picel,Staff,d007
11509,Aleksander,Feldhoffer,Senior Engineer,d005
11513,Otmar,Mahnke,Senior Staff,d002
11515,Ulf,Basawa,Staff,d007
11518,Jinxi,Oxman,Senior Staff,d003
11519,Halsur,Chinen,Senior Staff,d007
11523,Yuguang,Pezzoli,Engineer,d005
11524,Xiadong,Standera,Senior Engineer,d005
11527,Alagu,Boyle,Staff,d001
11528,Zito,Dolinsky,Technique Leader,d004
11531,Radhika,Motley,Technique Leader,d004
11533,Vitaly,Lorch,Technique Leader,d005
11537,DAIDA,Pehl,Senior Staff,d007
11540,Chanjung,Portugali,Senior Engineer,d004
11554,Subhash,Taubenfeld,Staff,d001
11555,Kotesh,Perfilyeva,Senior Staff,d003
11567,Teiji,Mitzlaff,Senior Staff,d007
11568,Martins,Fujisaki,Senior Engineer,d005
11573,Pranas,Hutton,Senior Engineer,d005
11575,Godehard,Plotkin,Engineer,d005
11577,Mayumi,Deyuan,Senior Engineer,d006
11581,Patricio,Rosenbaum,Senior Engineer,d005
11587,Shem,Zambonelli,Senior Engineer,d005
11589,Gina,Plessier,Senior Engineer,d005
11595,Takanari,Kamber,Senior Staff,d001
11596,Yannik,Gunderson,Staff,d002
11602,Somnath,Malabarba,Senior Staff,d001
11603,Herb,Swen,Senior Staff,d002
11606,Perry,Pepe,Senior Staff,d009
11607,Tomokazu,Foong,Engineer,d004
11615,Shem,Isaak,Senior Staff,d007
11616,Zhilian,Brendel,Engineer,d004
11624,Adil,Gammage,Senior Engineer,d004
11628,Fan,Malinowski,Senior Engineer,d005
11640,Valeri,Coorg,Senior Engineer,d005
11641,Chikako,Rothenberg,Senior Engineer,d005
11644,Sanjit,Zaiane,Assistant Engineer,d004
11646,Lobel,Rubsam,Engineer,d005
11647,Magy,Nitsche,Senior Engineer,d005
11649,Shen,Bernardinello,Technique Leader,d005
11660,Gill,Stenning,Senior Staff,d007
11664,Oksana,Brizzi,Senior Staff,d007
11667,Kristian,Marchegay,Senior Staff,d001
11673,Henk,Felder,Technique Leader,d004
11676,Valeri,Ferriere,Engineer,d004
11681,Fumitake,Benzmuller,Senior Engineer,d004
11684,Oksana,Gide,Senior Staff,d001
11690,Domenick,Raczkowsky,Staff,d003
11693,Hideo,Coorg,Senior Engineer,d005
11696,Dante,Rothe,Senior Staff,d007
11713,Danel,Heusch,Senior Engineer,d004
11732,Sanjoy,Ranft,Senior Engineer,d004
11733,Leszek,Sudbeck,Senior Engineer,d005
11735,Amalendu,Picci,Senior Staff,d009
11736,Shugo,Uchoa,Senior Engineer,d004
11737,Martina,Garnier,Assistant Engineer,d006
11746,Koichi,Marrakchi,Senior Staff,d007
11748,Lihong,Massonet,Engineer,d005
11751,Jiafu,Emiris,Senior Staff,d008
11756,Abdelwaheb,Vakili,Engineer,d005
11763,Yuriy,Liesche,Engineer,d005
11764,Sanjay,Anick,Senior Engineer,d004
11765,Zorica,Junet,Senior Staff,d003
11769,Chandrasekaran,Lampe,Senior Staff,d005
11770,Arumugam,Jakobus,Senior Engineer,d005
11772,Gaurav,Penz,Engineer,d005
11774,Aron,Wroclawski,Engineer,d004
11778,Dhritiman,Fontan,Senior Engineer,d004
11779,Shunichi,Thombley,Staff,d008
11791,Gal,Mamelak,Senior Engineer,d005
11797,Chenxi,Thambidurai,Senior Staff,d001
11801,Tommaso,Dayang,Senior Staff,d007
11807,Chriss,Binding,Technique Leader,d004
11810,Amabile,Bhattacharjee,Senior Engineer,d005
11811,Herb,Boissier,Senior Staff,d007
11817,Niranjan,Markovitch,Senior Staff,d007
11822,Sastry,Madeira,Staff,d009
11823,Weiyi,Iacovou,Senior Engineer,d005
11829,Chaosheng,Pettis,Assistant Engineer,d004
11832,Arto,Zlotek,Engineer,d005
11836,Ortrud,Bakhtari,Senior Staff,d008
11841,Elvia,Bugrara,Staff,d001
11842,Moto,Piazza,Senior Staff,d008
11844,Shawna,Demeyer,Senior Engineer,d005
11846,Fai,Perly,Senior Engineer,d004
11853,Zeljko,Kusakabe,Senior Staff,d001
11857,Divier,Farrag,Senior Staff,d007
11862,Alejandra,Deville,Senior Engineer,d004
11864,Pradeep,Kriebel,Staff,d009
11868,Kwee,Demke,Engineer,d006
11869,Fumino,Luca,Engineer,d004
11871,Nalini,Sommen,Senior Engineer,d005
11872,Cheong,Riexinger,Senior Staff,d001
11876,Leszek,Kobuchi,Senior Engineer,d005
11881,Arra,Staelin,Senior Staff,d007
11888,Badri,Azulay,Senior Staff,d001
11894,Mitchel,Validov,Senior Engineer,d005
11896,Shaunak,Benzmuller,Technique Leader,d004
11897,Cordelia,Setlzner,Senior Staff,d007
11906,Hideo,Boguraev,Engineer,d005
11911,Ashish,Mondadori,Senior Engineer,d005
11915,Miomir,Mawatari,Senior Engineer,d004
11917,Jiakeng,VanScheik,Engineer,d004
11926,Leni,Felcyn,Engineer,d004
11931,Gunilla,Chiodo,Senior Staff,d008
11933,Basil,Erman,Senior Engineer,d005
11938,Aruna,Verspoor,Staff,d004
11940,Ult,Anido,Assistant Engineer,d005
11944,Along,Aumann,Senior Engineer,d006
11945,Limsoon,Marakhovsky,Staff,d003
11948,Yahiko,Nergos,Senior Engineer,d004
11949,Martijn,Harbusch,Technique Leader,d004
11951,Bernt,Haumacher,Senior Engineer,d005
11965,Arup,Morrey,Engineer,d004
11972,Sibyl,Beausoleil,Senior Staff,d001
11980,Yechezkel,Pews,Staff,d007
11983,Jaana,Hedayat,Senior Engineer,d005
11989,Erzsebet,Peltason,Technique Leader,d004
11993,Marit,Dalphin,Senior Staff,d003
11994,Sigeru,Fiebach,Senior Staff,d001
12007,Marko,Dehkordi,Senior Engineer,d005
12011,Zhilian,Coorg,Senior Staff,d007
12015,Kensei,Guenter,Staff,d008
12021,Chikara,Rahimi,Senior Engineer,d004
12023,Chuanyi,Eppinger,Technique Leader,d006
12024,Mayumi,Lanzelotte,Staff,d003
12028,Ingemar,Walstra,Senior Engineer,d005
12030,Shuky,Cromarty,Staff,d003
12034,Aemilian,Piazza,Staff,d007
12036,Mads,Ratzlaff,Senior Staff,d001
12037,Arunas,Katzenelson,Senior Staff,d009
12040,Bluma,Kermarrec,Senior Staff,d001
12043,Masaki,Lubachevsky,Staff,d008
12044,Rance,Hemaspaandra,Senior Engineer,d004
12047,Jordanka,Ligten,Assistant Engineer,d006
12050,Yuchang,Tchuente,Engineer,d004
12053,Yechezkel,Pelc,Senior Engineer,d004
12054,Odysseas,Braccini,Staff,d007
12060,Toshimi,Antonakopoulos,Technique Leader,d006
12062,Margareta,Worfolk,Senior Staff,d003
12063,Lein,Bale,Senior Engineer,d004
12069,Ayonca,Burnard,Senior Engineer,d005
12070,Ger,Shokrollahi,Technique Leader,d005
12076,Karlis,Siprelle,Senior Staff,d007
12080,Panayotis,Feinberg,Senior Staff,d007
12082,Xinan,Yamaashi,Senior Staff,d007
12089,Bilhanan,Socorro,Senior Staff,d003
12090,Shigenori,Angelopoulos,Engineer,d004
12091,Lansing,Cunliffe,Senior Engineer,d006
12092,Kauko,Unno,Senior Staff,d008
12093,Evgueni,Oxenboll,Senior Engineer,d005
12094,Weiru,Pearson,Senior Staff,d009
12099,Nobuyoshi,Kuzuoka,Senior Staff,d007
12102,Aron,Erde,Staff,d007
12112,Satyanarayana,Avouris,Senior Staff,d002
12114,Shiv,Rubsam,Staff,d008
12122,Satoru,Krone,Senior Engineer,d004
12123,Xiahua,Syrzycki,Senior Staff,d008
12125,Shounak,Erman,Engineer,d004
12138,Takahito,Brender,Engineer,d004
12140,Xudong,Paciorek,Senior Staff,d003
12149,Suebskul,Grandbois,Senior Staff,d007
12159,Shem,Perly,Senior Engineer,d005
12160,Aamer,Garrabrants,Senior Staff,d007
12164,Muneo,Chachaty,Engineer,d005
12165,Xiaobin,Maquelin,Senior Engineer,d005
12168,Arnd,Salverda,Senior Staff,d009
12172,Jianhua,Llado,Senior Staff,d003
12174,Slavian,Plavsic,Senior Engineer,d005
12183,Harngdar,Iisaku,Engineer,d006
12186,Guther,Nooteboom,Senior Staff,d009
12190,Abdulah,Engberts,Senior Engineer,d005
12191,Rosella,Bazzichi,Engineer,d004
12192,Feiyu,Klyachko,Senior Engineer,d006
12205,Sushant,Rossi,Senior Engineer,d005
12206,Barton,Janetzko,Senior Engineer,d005
12210,Vugranam,Ashish,Senior Staff,d008
12213,Kwangho,Brizzi,Senior Staff,d007
12216,Aloke,Mansanne,Engineer,d006
12218,Yaghout,Strooper,Senior Engineer,d006
12219,Junsik,Gadepally,Senior Staff,d008
12221,Vincent,Melter,Senior Engineer,d005
12222,Abdelwaheb,Holburn,Senior Staff,d002
12223,Niteen,Koyama,Senior Engineer,d004
12230,Yuriy,Bellone,Engineer,d005
12231,Nishit,Bharadwaj,Senior Engineer,d004
12235,Honesty,Haumacher,Staff,d007
12242,Satoru,Wolniewicz,Engineer,d005
12247,Subbu,Penttonen,Technique Leader,d005
12249,Eldridge,Sadowski,Senior Engineer,d005
12250,Kerhong,Aloia,Senior Engineer,d005
12256,Guadalupe,Reghbati,Senior Staff,d003
12258,Kankanahalli,Eiter,Senior Engineer,d005
12264,Mart,Pagter,Engineer,d005
12269,Mohammed,Whitcomb,Senior Engineer,d004
12270,Shakhar,Kornyak,Senior Staff,d008
12272,Behnaam,Grandbois,Senior Staff,d003
12273,Jaideep,Uehara,Senior Staff,d007
12281,Hisao,Langford,Senior Engineer,d005
12282,Tadahiro,Delgrange,Engineer,d005
12291,Masamitsu,Koyama,Senior Staff,d007
12298,Tetsurou,Rodham,Senior Engineer,d005
12308,Mototsugu,Cronau,Senior Staff,d002
12311,Susanne,Lubachevsky,Senior Engineer,d005
12316,Hyuncheol,Duclos,Engineer,d004
12317,Weiyi,Crabtree,Staff,d004
12327,DAIDA,Bruckman,Senior Engineer,d005
12328,Atilio,Prampolini,Staff,d003
12338,Kagan,Besselaar,Staff,d002
12339,Pranay,Czaja,Staff,d008
12341,Rasiah,Luga,Senior Engineer,d005
12343,Sorina,Slaats,Senior Staff,d004
12355,Vidar,Hutton,Senior Engineer,d004
12364,Neelam,Cummings,Assistant Engineer,d004
12365,Kamakshi,Bisiani,Senior Engineer,d004
12368,Gor,Dechter,Senior Staff,d001
12373,Mooi,Driscoll,Senior Staff,d007
12379,Kazuhisa,Serna,Technique Leader,d005
12381,Amalendu,Klerer,Senior Staff,d008
12388,Arumugam,Hebert,Senior Engineer,d004
12394,Stevo,Reeken,Engineer,d006
12395,Sanjit,Felder,Senior Staff,d002
12399,Mihalis,Luga,Senior Staff,d007
12411,Shao,Ibel,Senior Staff,d007
12413,Hugh,Gadepally,Senior Engineer,d004
12417,Dannz,Spelt,Senior Engineer,d004
12421,Toshimi,Gulik,Senior Engineer,d005
12422,Berhard,Demos,Senior Staff,d003
12426,Shahaf,Valtorta,Technique Leader,d006
12427,Zissis,Daescu,Senior Staff,d008
12434,Xumin,Bernardinello,Engineer,d004
12438,Yongmao,Mondadori,Senior Staff,d007
12450,Sanjeeva,Perng,Senior Engineer,d005
